Name,Core Count,Performance Core Clock,Performance Core Boost Clock,TDP,Integrated Graphics,SMT,Rating,Price
AMD Ryzen 5 1600X,6,3.6 GHz,4 GHz,95 W,None,Yes,-75,$119.99 
Intel Core i9-9900KS,8,4 GHz,5 GHz,127 W,Intel UHD Graphics 630,Yes,-7,"$1,989.00 "
Intel Core i5-4690,4,3.5 GHz,3.9 GHz,84 W,Intel HD Graphics 4600,No,-42,$51.43 
Intel Core i9-13900,24,2 GHz,5.6 GHz,65 W,Intel UHD Graphics 770,Yes,-2,$488.22 
Intel Core i5-7600K,4,3.8 GHz,4.2 GHz,91 W,Intel HD Graphics 630,No,-137,$170.00 
Intel Xeon E5-2680 V4,14,2.4 GHz,3.3 GHz,120 W,None,Yes,-1,"$1,975.00 "
Intel Core i5-8500,6,3 GHz,4.1 GHz,65 W,Intel UHD Graphics 630,No,-8,$166.03 
Intel Core i3-13100,4,3.4 GHz,4.5 GHz,60 W,Intel UHD Graphics 730,Yes,-1,$147.99 
Intel Core i7-9700KF,8,3.6 GHz,4.9 GHz,95 W,None,No,-7,$250.00 
Intel Core i5-4460,4,3.2 GHz,3.4 GHz,84 W,Intel HD Graphics 4600,No,-103,$68.56 
AMD Ryzen 3 1200,4,3.1 GHz,3.4 GHz,65 W,None,No,-70,$105.00 
AMD Ryzen 7 1700X,8,3.4 GHz,3.8 GHz,95 W,None,Yes,-94,$225.00 
Intel Core i9-10980XE,18,3 GHz,4.8 GHz,165 W,None,Yes,0,"$1,200.00 "
Intel Core i5-11600KF,6,3.9 GHz,4.9 GHz,125 W,None,Yes,-4,$155.00 
AMD Ryzen 9 3900XT,12,3.8 GHz,4.7 GHz,105 W,None,Yes,-16,$379.00 
AMD Ryzen 7 3800XT,8,3.9 GHz,4.7 GHz,105 W,None,Yes,-22,$343.99 
AMD Ryzen 3 3300X,4,3.8 GHz,4.3 GHz,65 W,None,Yes,-21,$150.00 
AMD Ryzen 5 1400,4,3.2 GHz,3.4 GHz,65 W,None,Yes,-52,$110.00 
Intel Core i3-7350K,2,4.2 GHz,,60 W,Intel HD Graphics 630,Yes,-2,$51.60 
AMD Threadripper 1900X,8,3.8 GHz,4 GHz,180 W,None,Yes,-6,$109.99 
Intel Core i5-9600KF,6,3.7 GHz,4.6 GHz,95 W,None,No,-10,$180.12 
Intel Core i3-10105,4,3.7 GHz,4.4 GHz,65 W,Intel UHD Graphics 630,Yes,-4,$89.95 
Intel Core i9-10900F,10,2.8 GHz,5.2 GHz,65 W,None,Yes,-4,$250.00 
AMD Ryzen 7 1800X,8,3.6 GHz,4 GHz,95 W,None,Yes,-51,$235.00 
AMD Ryzen 5 1500X,4,3.5 GHz,3.7 GHz,65 W,None,Yes,-50,$195.00 
Intel Core i9-13900F,24,2 GHz,5.6 GHz,65 W,None,Yes,0,$549.99 
Intel Core i5-4670K,4,3.4 GHz,,84 W,Intel HD Graphics 4600,No,-525,$62.00 
